id;regname.ru;zatrat.ohran2014;zatrat.ohran2018
Bashkortostan;Республика Башкортостан;19917;24278
Mariy-El;Республика Марий Эл;735;1852
Mordovia;Республика Мордовия;2910;1636
Tatarstan;Республика Татарстан;20923;22123
Udmurt;Удмуртская Республика;2060;2764
Chuvash;Чувашская Республика;1617;1987
Perm';Пермский край;27874;13745
Kirov;Кировская область;3320;4338
Nizhegorod;Нижегородская область;8844;15746
Orenburg;Оренбургская область;6953;6983
Penza;Пензенская область;1143;1404
Samara;Самарская область;16549;12840
Saratov;Саратовская область;4662;4923
Ul'yanovsk;Ульяновская область;1803;2356
